"PLT_CN","X","PREV_PLT_CN","PLOT.STATEAB","INVYR","ELEV","LAT","LON","TPH.PICO","TPH.PIEN","TPH.ABLA","TPH.total","TPH.Allhosts","QMD.PICO","QMD.PIEN","QMD.ABLA","QMD.Allhosts","QMD.total","BA.PICO","BA.PIEN","BA.ABLA","BA.total","BA.Allhosts","BA.Otherhosts","SDI.PICO","SDI.PIEN","SDI.ABLA","stand.MPB","stand.SB","stand.WBBB","stand.allBBs","BA.MPB","BA.SB","BA.WBBB","BA.allBBs","agentSB","agentMPB","agentWBBB","agents","nagents","hostsPICO","hostsPIEN","hostsABLA","hosts","nhosts","STATEFP","STATENS","AFFGEOID","GEOID","STUSPS","NAME","LSAD","ALAND","AWATER","hostBA.MPB","hostBA.SB","hostBA.WBBB","hostBA.MPB.samp","hostBA.SB.samp","hostBA.WBBB.samp","hostBA.allBBs.samp","nplots","pressureMPB","pressureSB","pressureWBBB","pressureallBBs","hostBA.allBBs","Rpressure.MPB","Rpressure.SB","Rpressure.WBBB","Rpressure.allBBs","JJSPEI","WYSPEI","DecTMIN","DecTMINa","JulTMAX","JulTMAXa","PPT","PPTa"
14547091020004,2837,12432790010690,"88287.UT",2017,8920,39.47888,-110.184865,0,0,14.8708925683,282.5469587977,14.8708925683,0,0,19.05,19.05,17.9226607517146,0,0,0.423854987476353,7.12829898938008,0.423854987476353,0,0,0,0.631099769313487,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","absent","ABLA","ABLA",1,49,1455989,"0400000US49",49,"UT","Utah",0,212886221680,6998824394,0,0,0,0,0,68.0542321412011,68.0542321412011,6,0,0,2.57613409988294,2.57613409988294,0,0,0,0,0,0.234320659935474,0.846768440944807,-10.1089000701904,0.0810995101928708,27.0696001052857,0.0896005630493153,475.364123535156,-13.07587890625
14547279020004,2867,12433224010690,"80404.UT",2017,8640,39.842679,-110.597471,0,0,29.7417851366,416.3849919124,29.7417851366,0,0,14.0975720604649,14.0975720604649,22.9788292502966,0,0,0.464243658282988,17.2679652177833,0.464243658282988,2.22574731023582,0,0,0.779678731723077,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","absent","ABLA","ABLA",1,49,1455989,"0400000US49",49,"UT","Utah",0,212886221680,6998824394,0,0,0,0,0,34.9670192148291,34.9670192148291,7,0,0,3.09734386848275,3.09734386848275,0,0,0,0,0,0.285023410618306,1.15576202528817,-10.2784000396729,0.391600036621094,24.9315998077393,-0.328400421142578,570.796524047852,-13.0634613037109
14547841020004,2879,12436781010690,"85319.UT",2017,9070,38.520487,-109.163862,0,14.8708925683,29.7417851366,59.4835702732,44.6126777049,0,13.462,23.6124389252783,20.7871754374342,19.4993601433483,0,0.211663761745969,1.30238392951845,1.77634799551423,1.51404769126442,0,0,0.362110727846846,1.75593482879966,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","PIEN","ABLA","PIEN & ABLA",2,49,1455989,"0400000US49",49,"UT","Utah",0,212886221680,6998824394,0,0,0,0,138.026398681733,153.36203726861,291.388435950343,11,0,1.29582830571215,11.3185482335707,12.6143765392829,0,0,0,0,0,-0.641706989705563,0.830602763220668,-11.3969999790192,0.743000364303587,23.4128002166748,-0.127200698852539,796.156036376953,-62.9739685058594
14548644020004,2885,11948863010690,"80244.UT",2016,9730,38.48279,-112.374969,0,14.8708925683,208.1924959562,1754.7653230594,223.0633885245,0,14.986,19.9001919875879,19.6109275184356,19.6587701134349,0,0.26230030424981,6.47544928066984,53.2625596262506,6.73774958491965,4.04399101651216,0,0.429895816297229,9.25729844687735,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","PIEN","ABLA","PIEN & ABLA",2,49,1455989,"0400000US49",49,"UT","Utah",0,212886221680,6998824394,0,0,0,0,83.1507788391432,93.6427156571379,176.793494496281,9,0,0,0,0,0,0,0,0,0,-0.418439237028361,-0.256487439572812,-8.87110004425049,0.678900146484375,23.9481994628906,-0.191799926757812,716.067028808594,-39.51298828125
14548657020004,2886,12441098010690,"84496.UT",2017,9450,38.349522,-112.035941,0,0,0,44.6126777049,0,0,0,0,0,14.0582364944304,0,0,0,0.692484859539143,0,0,0,0,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","absent","absent","none",0,49,1455989,"0400000US49",49,"UT","Utah",0,212886221680,6998824394,0,0,0,0,8.40325479170895,104.446911153906,112.850165945615,7,0,0,3.28301119099684,3.28301119099684,0,0,0,0,0,0.2198466360569,-0.251026945561171,-8.43580012321472,0.894199800491333,24.3827001571655,-0.157300758361817,524.675424194336,-40.1845611572265
14549194020004,2903,31056541010690,"86617.UT",2019,9000,38.71541,-111.514001,0,29.7417851366,0,594.835702732,29.7417851366,0,13.335604748192,0,13.335604748192,30.9866987431704,0,0.415415563725712,0,44.8577977945862,0.415415563725712,6.03742811761205,0,0.713351845016504,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","PIEN","absent","PIEN",1,49,1455989,"0400000US49",49,"UT","Utah",0,212886221680,6998824394,0,3.75720131298594,9.8969574435745,0,188.488501310728,120.561387989772,309.0498893005,18,0,70.0268720909154,5.72667647879383,75.7535485697092,13.6541587565604,0,1.39586793854629,0.470106344566554,3.34687380372392,-0.144675455987454,0.18127509525844,-10.1150999546051,0.864899587631225,23.82350025177,0.00350055694580053,470.374118041992,-45.2358673095703
14549277020004,2919,31057869010690,"87627.UT",2019,9310,40.87905,-110.943489,0,0,89.2253554098,104.0962479781,89.2253554098,0,0,49.437105194378,49.437105194378,46.9084334543679,0,0,17.1271323339445,17.9898373564541,17.1271323339445,0,0,0,16.7697662375883,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","absent","ABLA","ABLA",1,49,1455989,"0400000US49",49,"UT","Utah",0,212886221680,6998824394,0,0,0,312.307356164252,218.172968721641,244.547976390338,775.028301276231,37,88.8749687020105,54.4460381032824,17.9670057011287,161.288012506422,0,0,0,0,0,-0.484301477670669,-0.109000568278134,-11.9175999641419,0.672400188446046,21.4511999130249,-0.128800010681152,853.493432617187,-48.7065795898438
14550088020004,2954,11957837010690,"84578.UT",2016,9380,38.491725,-111.457376,0,0,0,29.7417851366,0,0,0,0,0,14.6716609148385,0,0,0,0.502823881143058,0,0,0,0,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","absent","absent","none",0,49,1455989,"0400000US49",49,"UT","Utah",0,212886221680,6998824394,0,3.75720131298594,9.8969574435745,0,10.736077290781,22.2788730697259,33.014950360507,6,0,0,0,0,13.6541587565604,0,0,0,0,0.0336202777922158,-0.243303221464157,-10.252099943161,0.257900285720826,23.2430000305176,0.0830001831054692,555.963128662109,-28.6868957519531
14550197020004,2957,31544864010690,"80043.UT",2018,8030,41.373245,-111.777703,0,0,267.6760662294,267.6760662294,267.6760662294,0,0,35.3449110119752,35.3449110119752,35.3449110119752,0,0,26.2635620639903,26.2635620639903,26.2635620639903,0,0,0,29.52059455217,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","absent","ABLA","ABLA",1,49,1455989,"0400000US49",49,"UT","Utah",0,212886221680,6998824394,0,0,2.84589425191234,0,1.19628831665326,13.0255723911333,14.2218607077865,8,0,0,0,0,2.84589425191234,0,0,0,0,0.150943085551262,1.03187546879053,-8.45389981269837,0.296100187301637,24.3484001159668,0.868400573730468,1090.76605834961,-15.4238830566407
37259363010690,4247,-9999,"91728.NM",2010,9750,36.596942,-105.222101,0,208.1924959562,14.8708925683,1784.507108196,223.0633885245,0,16.1933715451724,13.716,16.0401217867363,15.7629972942965,0,4.28775472930967,0.219726425507741,34.8246039390371,4.50748115481741,0,0,6.74505810576475,0.373104095047531,0,2,0,2,0,0.686155291726163,0,0.686155291726163,"SB","absent","absent","SB",1,"absent","PIEN","ABLA","PIEN & ABLA",2,35,897535,"0400000US35",35,"NM","New Mexico",0,314196306401,728776523,0,166.968422858583,1.66527915079598,0,140.093303980662,0.41262753980809,140.50593152047,14,0,18.0096549318685,0,18.0096549318685,168.633702009379,0,21.4645782115073,0,21.6149934042464,-0.426313412282616,-0.111208616197109,-10.833099937439,0.186900520324706,21.092799949646,1.06279926300049,659.141436767578,-48.5785949707031
